"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"64","2010","5","Karnataka","Bangalore","12.06","32.09","2660.86","0.01","0.01","1000.0","0.0","0.0","0.0","0.11","0.23","2090.91","0.11","0.23","2090.91","0.0","0.0","0.0","12.71","64.23","5053.5","141.98","366.12","2578.67","0.0","0.0","0.0","0.33","0.21","636.36","5.74","3.73","649.83","25.57","21.98","859.6","4.93","5.1","1034.48","6.46","1.86","287.93","1.57","0.66","420.38","0.0","0.0","0.0","2.24","3.05","1361.61","0.0","0.0","0.0","0.08","0.06","750.0","0.0","0.0","0.0","17.25","11.0","637.68","0.93","9.94","10688.17","0.0","0.0","0.0","36.38","11.48","47.86","1.35","0.17","8.31"
"64","2011","5","Karnataka","Bangalore","11.08","32.5","2933.21","0.01","0.01","1000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.77","82.51","4643.22","138.58","361.21","2606.51","0.0","0.0","0.0","0.31","0.15","483.87","5.87","4.1","698.47","22.16","22.34","1008.12","5.35","4.94","923.36","4.68","2.9","619.66","1.54","0.61","396.1","0.0","0.0","0.0","1.93","4.06","2103.63","0.0","0.0","0.0","0.04","0.04","1000.0","0.0","0.0","0.0","15.27","12.85","841.52","1.75","14.81","8455.02","0.0","0.0","0.0","35.06","11.0","46.06","1.41","0.17","8.3"
"64","2012","5","Karnataka","Bangalore","8.92","22.85","2561.66","0.0","0.0","0.0","0.75","0.92","1226.67","0.01","0.02","2000.0","0.77","0.94","1220.78","0.02","0.02","1000.0","14.87","48.54","3264.29","124.96","270.9","2167.89","0.0","0.0","0.0","0.1","0.07","700.0","5.4","3.19","590.74","19.29","11.27","584.24","3.8","2.8","736.84","0.77","0.04","51.95","1.0","0.34","340.0","0.0","0.0","0.0","1.15","1.61","1400.0","0.0","0.0","0.0","0.05","0.03","600.0","0.0","0.0","0.0","7.84","5.21","664.54","0.73","6.76","9260.27","0.0","0.0","0.0","36.46","12.14","48.6","1.09","0.11","9.32"
"64","2013","5","Karnataka","Bangalore","7.75","21.56","2781.94","0.0","0.0","0.0","0.85","1.21","1423.53","0.03","0.04","1333.33","0.89","1.26","1415.73","0.08","0.09","1125.0","16.73","53.15","3176.93","134.16","353.94","2638.19","0.0","0.0","0.0","0.27","0.2","740.74","7.31","6.4","875.51","24.53","20.23","824.7","5.96","7.57","1270.13","1.97","0.94","477.16","1.3","0.45","346.15","0.0","0.0","0.0","1.74","3.76","2160.92","0.0","0.0","0.0","0.11","0.06","545.45","0.0","0.0","0.0","12.64","13.15","1040.35","0.19","1.48","7789.47","0.0","0.0","0.0","34.53","12.57","47.11","1.46","0.28","11.0"
"64","2014","5","Karnataka","Bangalore","6.84","18.35","2682.75","0.0","0.0","0.0","0.54","0.74","1370.37","0.04","0.06","1500.0","0.58","0.8","1379.31","0.0","0.0","0.0","18.08","57.79","3196.35","129.51","296.03","2285.77","0.0","0.0","0.0","0.32","0.22","687.5","6.11","4.66","762.68","20.37","22.15","1087.38","4.07","4.61","1132.68","1.39","0.53","381.29","0.83","0.18","216.87","0.0","0.0","0.0","1.28","1.06","828.12","0.0","0.0","0.0","0.02","0.01","500.0","0.0","0.0","0.0","8.48","7.05","831.37","1.03","6.75","6553.4","0.0","0.0","0.0","34.78","10.85","45.64","0.96","0.11","5.55"
"64","2015","5","Karnataka","Bangalore","5.97","14.64","2452.26","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.05","625.0","0.08","0.05","625.0","0.02","0.02","1000.0","17.99","51.58","2867.15","128.97","253.67","1966.89","0.0","0.0","0.0","0.11","0.03","272.73","5.44","3.47","637.87","24.05","30.84","1282.57","3.56","5.03","1412.92","3.46","2.96","855.49","0.8","0.17","212.5","0.0","0.0","0.0","1.14","0.83","728.07","0.01","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.0","9.79","0.0","0.0","0.5","4.58","9201.2","0.0","0.0","0.0","37.37","11.29","48.65","0.6","0.05","9.36"
"64","2016","5","Karnataka","Bangalore","4.96","9.26","1866.88","0.0","0.0","0.0","0.0","0.0","1000.0","0.0","0.0","0.0","0.0","0.0","1000.0","0.01","0.01","1000.0","14.63","34.43","2353.77","119.05","98.84","830.24","0.0","0.0","0.0","0.21","0.13","588.79","5.37","4.18","777.65","23.75","12.22","514.78","2.69","2.78","1030.44","0.5","0.41","824.35","0.72","0.13","180.81","0.0","0.0","0.0","1.43","0.97","682.81","0.0","0.0","0.0","0.01","0.01","625.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.02","10450.0","0.0","0.0","360.0","37.17","10.13","47.3","0.47","0.07","8.58"
"64","2017","5","Karnataka","Bangalore","5.24","15.46","2950.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.09","0.1","1108.7","12.76","61.27","4801.21","125.46","302.46","2410.8","0.0","0.0","0.0","0.14","0.1","770.37","5.32","4.13","775.54","20.13","14.89","739.68","1.71","2.01","1177.5","2.34","1.15","491.03","0.62","0.08","128.04","0.0","0.0","0.0","2.27","1.76","776.36","0.0","0.0","0.0","0.01","0.01","1000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.22","1.74","7804.48","0.0","0.0","0.0","37.3","10.68","47.99","0.5","0.09","7.41"
"65","2000","5","Karnataka","Kolar","22.8","60.0","2631.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","16.4","43.0","2621.95","132.0","243.0","1840.91","0.0","0.0","0.0","0.0","0.0","0.0","8.1","7.0","864.2","24.9","7.0","281.12","55.0","77.0","1400.0","0.0","0.0","0.0","1.5","1.0","666.67","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","1.7","1.0","588.24","0.0","0.0","0.0","59.6","79.0","1325.5","2.5","19.8","7920.0","0.0","0.0","0.0","40.64","27.56","68.2","10.37","2.14","2.56"
"65","2001","5","Karnataka","Kolar","24.61","51.97","2111.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.3","25.13","1541.72","100.9","166.15","1646.68","0.0","0.0","0.0","0.01","0.01","1000.0","4.7","1.98","421.28","19.3","6.49","336.27","54.75","30.86","563.65","0.0","0.0","0.0","1.25","0.36","288.0","0.0","0.0","0.0","0.12","0.09","750.0","0.0","0.0","0.0","1.21","0.95","785.12","0.0","0.0","0.0","58.4","32.5","556.51","1.23","12.34","10032.52","0.0","0.0","0.0","48.63","34.48","83.1","11.83","1.78","2.46"
"65","2002","5","Karnataka","Kolar","5.85","11.56","1976.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.38","0.14","368.42","16.9","21.85","1292.9","51.25","34.46","672.39","0.0","0.0","0.0","0.0","0.0","0.0","2.88","0.85","295.14","25.64","5.81","226.6","33.49","10.67","318.6","0.0","0.0","0.0","0.47","0.13","276.6","0.0","0.0","0.0","0.14","0.13","928.57","0.0","0.0","0.0","2.38","1.67","701.68","0.0","0.0","0.0","36.88","12.7","344.36","1.27","10.48","8251.97","0.0","0.0","0.0","49.42","23.17","72.6","5.55","1.57","2.52"
"65","2003","5","Karnataka","Kolar","9.06","20.81","2296.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.01","333.33","26.33","55.1","2092.67","120.92","176.61","1460.55","0.0","0.0","0.0","0.0","0.0","0.0","6.08","4.53","745.07","19.38","5.1","263.16","43.23","30.93","715.48","0.0","0.0","0.0","1.41","0.4","283.69","0.0","0.0","0.0","0.67","0.6","895.52","0.0","0.0","0.0","3.16","2.1","664.56","0.0","0.0","0.0","49.32","34.23","694.04","0.69","4.6","6666.67","0.0","0.0","0.0","49.29","23.28","72.56","5.12","1.76","2.65"
"65","2004","5","Karnataka","Kolar","7.32","18.16","2480.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.03","375.0","24.9","48.06","1930.12","109.31","152.64","1396.4","0.0","0.0","0.0","0.14","0.11","785.71","7.91","6.33","800.25","27.08","7.46","275.48","50.25","32.05","637.81","0.0","0.0","0.0","0.9","0.26","288.89","0.0","0.0","0.0","0.3","0.26","866.67","0.0","0.0","0.0","5.44","7.68","1411.76","0.0","0.0","0.0","57.69","40.42","700.64","0.43","3.31","7697.67","0.0","0.0","0.0","51.3","30.63","81.93","4.03","1.51","2.78"
"65","2005","5","Karnataka","Kolar","16.74","59.75","3569.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.09","0.05","555.56","23.09","64.17","2779.13","106.69","194.31","1821.26","0.0","0.0","0.0","0.05","0.04","800.0","8.99","5.09","566.18","19.76","6.53","330.47","52.05","36.98","710.47","0.0","0.0","0.0","1.23","0.35","284.55","0.0","0.0","0.0","0.5","0.52","1040.0","0.0","0.0","0.0","6.33","11.57","1827.8","0.0","0.0","0.0","60.64","49.54","816.95","0.4","3.55","8875.0","0.0","0.0","0.0","52.31","18.83","71.13","5.16","1.04","2.6"
"65","2006","5","Karnataka","Kolar","10.26","19.55","1905.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.05","500.0","23.95","48.25","2014.61","62.52","73.32","1172.74","0.0","0.0","0.0","0.0","0.0","0.0","6.17","3.32","538.09","22.5","12.59","559.56","38.05","12.04","316.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.4","800.0","0.0","0.0","0.0","2.76","4.11","1489.13","0.0","0.0","0.0","41.84","16.67","398.42","0.33","2.86","8666.67","0.0","0.0","0.0","52.5","22.57","75.07","7.16","0.7","2.55"
"65","2007","5","Karnataka","Kolar","11.44","25.96","2269.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.03","750.0","34.54","62.79","1817.89","98.28","126.31","1285.21","0.0","0.0","0.0","0.0","0.0","0.0","10.22","4.69","458.9","14.84","8.7","586.25","53.33","51.14","958.93","0.0","0.0","0.0","0.43","0.16","372.09","0.0","0.0","0.0","0.63","0.42","666.67","0.0","0.0","0.0","2.42","2.36","975.21","0.0","0.0","0.0","57.58","54.37","944.25","0.51","0.85","1666.67","0.0","0.0","0.0","51.4","22.05","73.44","4.06","0.87","2.18"
"65","2008","5","Karnataka","Kolar","12.28","31.29","2548.05","2.36","2.38","1008.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.58","123.93","3483.14","104.13","175.75","1687.79","0.0","0.0","0.0","0.16","0.12","750.0","11.45","7.11","620.96","19.93","14.01","702.96","58.22","37.89","650.81","0.0","0.0","0.0","0.62","0.25","403.23","0.0","0.0","0.0","0.8","0.76","950.0","0.0","0.0","0.0","3.43","3.29","959.18","0.0","0.0","0.0","64.2","42.58","663.24","0.08","0.0","0.0","0.0","0.0","0.0","52.96","24.24","77.2","6.47","1.05","1.92"
"65","2009","5","Karnataka","Kolar","10.46","21.33","2039.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.99","120.76","3019.75","96.62","118.74","1228.94","0.0","0.0","0.0","0.35","0.19","542.86","5.74","3.05","531.36","26.28","14.28","543.38","29.57","17.47","590.8","0.0","0.0","0.0","0.71","0.2","281.69","0.0","0.0","0.0","0.32","0.21","656.25","0.0","0.0","0.0","2.45","2.37","967.35","0.0","0.0","0.0","33.41","20.34","608.8","0.34","0.39","1147.06","0.0","0.0","0.0","54.92","24.2","79.12","7.24","0.83","4.1"
"65","2010","5","Karnataka","Kolar","19.25","48.94","2542.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.05","0.05","1000.0","43.29","158.37","3658.35","99.08","218.33","2203.57","0.0","0.0","0.0","0.05","0.03","600.0","15.05","16.1","1069.77","25.12","24.32","968.15","47.85","46.75","977.01","0.09","0.05","555.56","0.61","0.19","311.48","0.0","0.0","0.0","0.41","0.35","853.66","0.0","0.0","0.0","1.77","1.66","937.85","0.0","0.0","0.0","51.23","50.05","976.97","0.27","2.51","9296.3","0.23","0.08","347.83","65.8","32.81","98.61","7.06","2.0","3.29"
"65","2011","5","Karnataka","Kolar","10.82","27.11","2505.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.13","928.57","60.03","188.92","3147.09","103.93","219.88","2115.65","0.0","0.0","0.0","0.15","0.07","466.67","10.68","10.83","1014.04","23.61","29.56","1252.01","40.17","28.65","713.22","0.3","0.15","500.0","1.05","0.23","219.05","0.0","0.0","0.0","0.21","0.18","857.14","0.0","0.0","0.0","1.46","1.49","1020.55","0.0","0.0","0.0","44.03","34.8","790.37","0.54","4.96","9119.85","0.2","0.07","350.0","72.99","25.35","98.33","5.94","1.57","2.74"
"65","2012","5","Karnataka","Kolar","7.2","17.76","2466.67","0.0","0.0","0.0","2.77","3.4","1227.44","0.0","0.0","0.0","2.77","3.4","1227.44","0.0","0.0","0.0","61.53","171.75","2791.32","104.99","232.76","2216.97","0.0","0.0","0.0","0.07","0.04","571.43","9.63","6.63","688.47","23.95","36.23","1512.73","32.6","17.09","524.23","0.26","0.08","307.69","0.69","0.19","275.36","0.0","0.0","0.0","0.15","0.1","666.67","0.0","0.0","0.0","0.95","1.19","1252.63","0.0","0.0","0.0","35.25","18.23","517.16","0.31","2.56","8258.06","0.16","0.07","437.5","73.44","26.56","100.0","6.15","1.5","2.33"
"65","2013","5","Karnataka","Kolar","4.08","9.49","2325.98","0.0","0.0","0.0","6.13","8.72","1422.51","0.0","0.0","0.0","6.13","8.72","1422.51","0.0","0.0","0.0","59.44","213.52","3592.19","102.96","229.22","2226.3","0.0","0.0","0.0","0.22","0.17","772.73","7.5","5.93","790.67","28.17","35.1","1246.01","25.53","23.67","927.14","0.24","0.14","583.33","0.5","0.15","300.0","0.0","0.0","0.0","0.16","0.14","875.0","0.0","0.0","0.0","0.21","0.23","1095.24","0.0","0.0","0.0","27.13","24.58","906.01","0.0","0.0","0.0","0.16","0.09","562.5","73.23","24.51","97.74","6.15","1.34","1.65"
"65","2014","5","Karnataka","Kolar","1.15","2.8","2434.78","0.0","0.0","0.0","0.83","1.15","1385.54","0.0","0.0","0.0","0.83","1.15","1385.54","0.0","0.0","0.0","65.7","133.59","2033.33","99.53","140.56","1412.24","0.0","0.0","0.0","0.08","0.06","750.0","8.08","6.76","836.63","23.62","17.35","734.55","31.43","15.15","482.02","0.19","0.1","526.32","0.36","0.09","250.0","0.0","0.0","0.0","0.13","0.08","615.38","0.0","0.0","0.0","0.08","0.1","1250.0","0.0","0.0","0.0","32.54","13.33","409.65","0.06","0.53","8833.33","0.07","0.03","428.57","73.32","24.13","97.45","6.21","1.57","1.46"
