Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH,Rainfall,Crop
84,67,36,19.331583790620527,60.436765990176234,6.4285500217972995,66.99819708383745,Wheat
75,69,41,17.086633398643272,64.94380549636887,7.165419351288794,82.3317381442839,Wheat
86,58,38,17.793676596901285,60.88933518305359,7.0971102599525775,95.48345697060469,Wheat
83,50,37,21.8074275901401,64.03452491331421,6.985340651113944,86.75953018856914,Wheat
89,52,43,22.521067539662226,64.60495755132976,6.483920974737466,72.21455441377574,Wheat
61,52,42,16.79415447568448,60.68268832021304,6.4372490874968005,73.01598792637071,Wheat
79,57,36,20.767519394017036,54.62091187778584,6.7425402305549,80.3525630735504,Wheat
81,63,43,22.784084438019566,55.89646587000141,7.092046555177113,85.24554503989052,Wheat
61,50,41,20.3513924773048,62.96251347607855,6.430185268241555,79.96773519539009,Wheat
63,52,30,15.34883017403547,64.91825766196011,6.669944513990943,71.18241367187034,Wheat
65,52,41,15.12365293223094,63.92477843881588,6.628184148317315,98.66619276174679,Wheat
62,50,33,17.355591136556686,55.77646592902888,7.051136671516857,72.6768802062511,Wheat
87,48,39,27.489238193286248,70.4404469501246,6.370061170089365,94.85882468853842,Maize
84,45,36,21.12067212189219,67.77494478545606,6.677373071927955,127.03843088771022,Maize
70,48,35,22.87592920975804,64.4038776639674,6.609361155478513,130.50566973395905,Maize
94,47,39,20.041478902191894,69.41841622422955,5.994273953512042,93.54704584999638,Maize
83,53,32,22.703961254812285,65.63374428959916,5.893981939840868,118.9140070498087,Maize
91,42,38,21.240332933821954,74.72761332465797,6.638933502069364,133.02023091558377,Maize
86,43,39,26.580804485277266,65.40285962116894,5.9270605126518845,116.11216300274022,Maize
90,51,34,23.65812129290983,72.63034612517973,5.994380033994873,110.56769525283393,Maize
72,46,37,25.80873066978129,74.63778119193802,6.316300348301195,106.1478236470623,Maize
86,47,32,23.51177136564509,61.17684572013399,5.825350743415457,138.13242073389625,Maize
92,54,38,25.507999206122932,60.872903932626656,6.71521372762648,112.11761148655522,Maize
99,45,38,25.28157901374185,64.19900845418914,6.754865280663194,126.89484583478843,Maize
74,45,36,20.38172902153319,68.49055815741114,5.958646447642491,96.0082323902821,Maize
98,53,34,20.753255906148482,64.67119964086942,6.7795105286215085,98.76651349446692,Maize
85,49,39,23.932927000934658,67.10207656170849,5.973201869910015,111.69258246189865,Maize
92,49,39,27.593165852731087,73.30020580947071,6.060893623341713,90.76522701451924,Maize
88,49,30,24.3150195872005,70.25945654097211,6.415851164389913,137.19458022803786,Maize
71,40,33,24.603793423007033,65.82254889309783,6.443288218442353,112.91264452457582,Maize
88,50,34,25.00751736081258,72.30640265656902,6.451484771857788,100.33421799383727,Maize
98,52,31,20.31170505848187,69.2738082650684,6.136554214888727,122.7861317690371,Maize
118,54,59,26.186175485886608,82.21702723883404,6.7818547747734,158.27153793351593,Sugarcane
100,57,73,31.880568350431087,82.05221395577273,6.782034572571306,162.42076806458059,Sugarcane
98,52,52,33.924041136005386,76.1892651536714,6.872018085792783,204.34890725193978,Sugarcane
113,51,54,27.90877487832272,80.19767169850368,7.239908760447374,166.67653066827856,Sugarcane
119,45,66,30.042018979582856,82.39686199161612,6.820049601030612,212.68662599473402,Sugarcane
125,56,58,32.77714515276472,75.32357785694082,7.456800885126456,197.37389330970123,Sugarcane
108,54,64,26.666275289562076,71.37556220887721,7.102440925901119,188.75921366420604,Sugarcane
110,48,70,32.33263234980679,81.84427214191831,6.59120610304869,184.6094213291807,Sugarcane
128,58,54,31.89628445432807,78.18873655247484,7.205831483878694,217.80563607818942,Sugarcane
98,54,61,32.93494964248673,82.57721145645978,6.926091475046941,165.58034922997214,Sugarcane
98,46,51,26.650790245135198,71.27256571127788,7.486639578501175,176.19895570292843,Sugarcane
90,50,69,27.89348154945663,83.6154055952282,7.091888738821284,174.51527726902194,Sugarcane
120,47,61,30.46723399788644,76.36333013870464,7.406354385094736,157.7838237614306,Sugarcane
92,57,62,29.241616694251338,78.57209537807516,7.240973860910668,203.70363971760003,Sugarcane
128,45,52,30.666950120777276,84.43258822711813,6.874870579523704,169.99984603973024,Sugarcane
122,50,70,33.70578031552489,70.18231712034725,7.469878826707639,153.02119383654033,Sugarcane
110,50,70,33.9437183689544,71.10694847103099,7.053854284401321,217.85117749333693,Sugarcane
107,59,58,27.73447285269193,74.41740920259144,7.495831375029371,198.78475391046703,Sugarcane
92,51,74,33.32203473335285,84.38053611111769,6.5578638977577075,177.6165259025691,Sugarcane
113,56,70,28.21904946384906,72.82181739585641,6.963698404939982,174.7346559618237,Sugarcane
67,34,28,24.0795989028341,46.798612702432465,5.53231595110965,59.7917227509131,Cotton
70,49,32,27.477849380431035,42.43925409017337,6.4109271844938425,78.78880350231091,Cotton
67,48,24,26.90732156748632,46.27364554435928,6.432728483354014,80.3122361325143,Cotton
62,34,26,25.290040932682953,51.66403425602839,5.980370081866354,84.48501177329265,Cotton
60,46,32,22.50809463672001,40.55232801453987,5.633852118800633,50.4785187689449,Cotton
72,35,31,28.50320807304062,54.99576509929196,6.496636837073906,69.44010969609195,Cotton
54,34,29,28.79717912541929,43.71022152614796,5.950544135310094,54.52057953030233,Cotton
68,42,32,23.657821192064453,53.17331001218788,6.256999132172229,51.6413763726927,Cotton
57,36,29,25.98532149316714,47.143160451835215,6.3313714900625016,60.77220339198673,Cotton
50,41,24,22.707265786925174,51.87726759204449,6.089955897137636,66.80160884564663,Cotton
72,44,24,26.96247641082772,50.561196521488355,5.712964161508911,54.773001645536944,Cotton
77,31,25,26.86470279633508,49.549664824334236,6.054815608542226,53.18507318679656,Cotton
51,49,28,26.111915913278487,51.75479519111715,5.89654278232127,71.77303450797558,Cotton
68,46,24,28.37177420539102,46.89020211919259,6.34209141501871,76.91212094603891,Cotton
69,34,21,26.96644547537673,45.211201123381215,5.709130791078514,70.28774770651084,Cotton
60,48,34,23.031037775285192,41.92068758436659,5.6519026935122945,54.85895104272935,Cotton
57,33,27,27.57201172981663,46.17491821536292,6.374317604854417,68.03326192024738,Cotton
67,48,22,28.574325094755594,45.1762394173358,5.847619214482684,51.11316385198078,Cotton
55,30,24,25.686230144261806,43.095005776086886,5.864269861048076,67.61960447991999,Cotton
62,38,29,28.39528319127234,49.418505842363615,5.581759031948872,80.5752518437372,Cotton
